Frequency (Hz)	Level (dB)
11229.565430	-60.766182
11240.332031	-60.699070
11251.098633	-60.580601
11261.865234	-60.731892
11272.631836	-60.629547
11283.398438	-60.701946
11294.165039	-60.657272
11304.931641	-60.650928
11315.698242	-60.631714
11326.464844	-60.727261
11337.231445	-60.462013
11347.998047	-60.515625
11358.764648	-60.613338
11369.531250	-60.547939
11380.297852	-60.623562
11391.064453	-60.626694
11401.831055	-60.719154
11412.597656	-60.680576
11423.364258	-60.699524
11434.130859	-60.772251
11444.897461	-60.708263
11455.664062	-60.677811
11466.430664	-60.636955
11477.197266	-60.717178
11487.963867	-60.826183
11498.730469	-60.819904
11509.497070	-60.769730
11520.263672	-60.812595
11531.030273	-60.923050
11541.796875	-60.705750
11552.563477	-60.685070
11563.330078	-60.680550
11574.096680	-60.791336
11584.863281	-60.881161
11595.629883	-60.803612
11606.396484	-60.886402
11617.163086	-60.742741
11627.929688	-60.760586
11638.696289	-60.774536
11649.462891	-60.820099
11660.229492	-60.940121
11670.996094	-61.019958
11681.762695	-60.948162
11692.529297	-60.803082
11703.295898	-60.804386
11714.062500	-60.929287
11724.829102	-60.903454
11735.595703	-60.796700
11746.362305	-60.884937
11757.128906	-61.038361
11767.895508	-60.907330
11778.662109	-60.697227
11789.428711	-60.750927
11800.195312	-60.870586
11810.961914	-60.957470
11821.728516	-60.936714
11832.495117	-60.835335
11843.261719	-60.865776
11854.028320	-60.915817
11864.794922	-60.863308
11875.561523	-60.930191
11886.328125	-60.954899
11897.094727	-60.838562
11907.861328	-60.740009
11918.627930	-60.770519
11929.394531	-60.845387
11940.161133	-60.843334
11950.927734	-60.875164
11961.694336	-60.806835
11972.460938	-60.833878
11983.227539	-60.920650
11993.994141	-60.910709
12004.760742	-60.853474
12015.527344	-60.871033
12026.293945	-60.880592
12037.060547	-60.725159
12047.827148	-60.790234
12058.593750	-60.961403
12069.360352	-61.017033
12080.126953	-61.057041
12090.893555	-61.004494
12101.660156	-60.989227
12112.426758	-60.821480
12123.193359	-60.826843
12133.959961	-60.894722
12144.726562	-60.959686
12155.493164	-60.974350
12166.259766	-60.886097
12177.026367	-60.957413
12187.792969	-60.926765
12198.559570	-60.958599
12209.326172	-61.007931
12220.092773	-61.159233
12230.859375	-61.106571
12241.625977	-61.043915
12252.392578	-61.064285
12263.159180	-61.102192
12273.925781	-61.120899
12284.692383	-61.110531
12295.458984	-61.054893
12306.225586	-61.046032
12316.992188	-61.102062
12327.758789	-61.167858
