Frequency (Hz)	Level (dB)
5953.930664	-57.460751
5964.697266	-57.425934
5975.463867	-57.535198
5986.230469	-57.408676
5996.997070	-57.499050
6007.763672	-57.601559
6018.530273	-57.685356
6029.296875	-57.627480
6040.063477	-57.578369
6050.830078	-57.609684
6061.596680	-57.668484
6072.363281	-57.548576
6083.129883	-57.598568
6093.896484	-57.711956
6104.663086	-57.678120
6115.429688	-57.641659
6126.196289	-57.632416
6136.962891	-57.511318
6147.729492	-57.584084
6158.496094	-57.758087
6169.262695	-57.661053
6180.029297	-57.545410
6190.795898	-57.659309
6201.562500	-57.662495
6212.329102	-57.663502
6223.095703	-57.680836
6233.862305	-57.730782
6244.628906	-57.677742
6255.395508	-57.612103
6266.162109	-57.632202
6276.928711	-57.750679
6287.695312	-57.725830
6298.461914	-57.728870
6309.228516	-57.842293
6319.995117	-57.751480
6330.761719	-57.920902
6341.528320	-57.959625
6352.294922	-57.820465
6363.061523	-57.823490
6373.828125	-57.896622
6384.594727	-57.869583
6395.361328	-57.770111
6406.127930	-57.772167
6416.894531	-57.712200
6427.661133	-57.837708
6438.427734	-57.889786
6449.194336	-57.923050
6459.960938	-57.906284
6470.727539	-57.948910
6481.494141	-58.037594
6492.260742	-57.978561
6503.027344	-57.973877
6513.793945	-57.878727
6524.560547	-57.982437
6535.327148	-57.916485
6546.093750	-57.810589
6556.860352	-57.825962
6567.626953	-57.918236
6578.393555	-58.142056
6589.160156	-58.160927
6599.926758	-58.085445
6610.693359	-58.057575
6621.459961	-57.976913
6632.226562	-57.949223
6642.993164	-58.170670
6653.759766	-58.040958
6664.526367	-58.026669
6675.292969	-58.190788
6686.059570	-58.155670
6696.826172	-58.059273
6707.592773	-58.061249
6718.359375	-58.088852
6729.125977	-58.127857
6739.892578	-58.156967
6750.659180	-58.099400
6761.425781	-58.149288
6772.192383	-58.056980
6782.958984	-58.106129
6793.725586	-58.164772
6804.492188	-58.228333
6815.258789	-58.219151
6826.025391	-58.091373
6836.791992	-58.047211
6847.558594	-58.217770
6858.325195	-58.240852
6869.091797	-58.184212
6879.858398	-58.158775
6890.625000	-58.285835
6901.391602	-58.194046
6912.158203	-58.161160
6922.924805	-58.118359
6933.691406	-58.148933
6944.458008	-58.282486
6955.224609	-58.072258
6965.991211	-58.083660
6976.757812	-58.120121
6987.524414	-58.250000
6998.291016	-58.379501
7009.057617	-58.371941
7019.824219	-58.334854
7030.590820	-58.288116
7041.357422	-58.262032
7052.124023	-58.306366
7062.890625	-58.264236
7073.657227	-58.367451
7084.423828	-58.468674
7095.190430	-58.517586
7105.957031	-58.411259
7116.723633	-58.277618
7127.490234	-58.318073
7138.256836	-58.468941
7149.023438	-58.391544
7159.790039	-58.395752
7170.556641	-58.370213
7181.323242	-58.352612
7192.089844	-58.296635
7202.856445	-58.375435
7213.623047	-58.482559
7224.389648	-58.552883
7235.156250	-58.454910
7245.922852	-58.493584
7256.689453	-58.483620
7267.456055	-58.462055
7278.222656	-58.539989
7288.989258	-58.535378
7299.755859	-58.569252
7310.522461	-58.435417
7321.289062	-58.334743
7332.055664	-58.277431
7342.822266	-58.547878
7353.588867	-58.562092
7364.355469	-58.504299
7375.122070	-58.424915
7385.888672	-58.466663
7396.655273	-58.469837
7407.421875	-58.593559
7418.188477	-58.640892
7428.955078	-58.593861
7439.721680	-58.465546
7450.488281	-58.651028
7461.254883	-58.660622
7472.021484	-58.645489
7482.788086	-58.640972
7493.554688	-58.750282
7504.321289	-58.656586
7515.087891	-58.601357
7525.854492	-58.619595
7536.621094	-58.694584
7547.387695	-58.745689
7558.154297	-58.745159
7568.920898	-58.592575
7579.687500	-58.825443
7590.454102	-58.731239
7601.220703	-58.633705
7611.987305	-58.765648
7622.753906	-58.756599
7633.520508	-58.678967
7644.287109	-58.672585
7655.053711	-58.719807
7665.820312	-58.824131
7676.586914	-58.711861
7687.353516	-58.687603
7698.120117	-58.796600
7708.886719	-58.816681
7719.653320	-58.670063
7730.419922	-58.682388
7741.186523	-58.721573
7751.953125	-58.643867
7762.719727	-58.672615
7773.486328	-58.772930
7784.252930	-58.796474
7795.019531	-58.804024
7805.786133	-58.769180
7816.552734	-58.771252
7827.319336	-58.885258
7838.085938	-58.918308
7848.852539	-59.050636
7859.619141	-58.885147
7870.385742	-58.747845
7881.152344	-58.899384
7891.918945	-58.797832
7902.685547	-58.723927
7913.452148	-58.779846
7924.218750	-58.906418
7934.985352	-58.897243
7945.751953	-58.891006
7956.518555	-59.011120
7967.285156	-59.027855
7978.051758	-58.964775
7988.818359	-58.874634
7999.584961	-58.948311
8010.351562	-58.867382
8021.118164	-58.903896
8031.884766	-58.868729
8042.651367	-58.999187
8053.417969	-59.081638
8064.184570	-58.992332
8074.951172	-58.960926
8085.717773	-58.927624
8096.484375	-58.931061
8107.250977	-58.862675
8118.017578	-58.896553
8128.784180	-58.991276
8139.550781	-59.107872
8150.317383	-59.222980
8161.083984	-59.141254
8171.850586	-58.981277
8182.617188	-59.045597
8193.383789	-59.048332
8204.150391	-59.013359
8214.916992	-59.005753
8225.683594	-58.932224
8236.450195	-59.114990
8247.216797	-59.279324
8257.983398	-59.178646
8268.750000	-59.267159
8279.516602	-59.287651
8290.283203	-59.149239
8301.049805	-59.262653
8311.816406	-59.205559
8322.583008	-59.113037
8333.349609	-59.080555
8344.116211	-59.238369
8354.882812	-59.187820
8365.649414	-59.218876
8376.416016	-59.110847
8387.182617	-59.101902
8397.949219	-59.095768
8408.715820	-59.195393
8419.482422	-59.363647
8430.249023	-59.253098
8441.015625	-59.237926
8451.782227	-59.255138
8462.548828	-59.281017
8473.315430	-59.295654
8484.082031	-59.269161
8494.848633	-59.046833
8505.615234	-59.085957
8516.381836	-59.230560
8527.148438	-59.350502
8537.915039	-59.333218
8548.681641	-59.260876
8559.448242	-59.183041
8570.214844	-59.255577
8580.981445	-59.222202
8591.748047	-59.277527
8602.514648	-59.269150
8613.281250	-59.304401
8624.047852	-59.137604
8634.814453	-59.296040
8645.581055	-59.341381
8656.347656	-59.362991
8667.114258	-59.466888
8677.880859	-59.418903
8688.647461	-59.340374
8699.414062	-59.301491
8710.180664	-59.348602
8720.947266	-59.314777
8731.713867	-59.319096
8742.480469	-59.218140
8753.247070	-59.253826
8764.013672	-59.335758
8774.780273	-59.334213
8785.546875	-59.508186
8796.313477	-59.528423
8807.080078	-59.481068
8817.846680	-59.434563
8828.613281	-59.407448
8839.379883	-59.492748
8850.146484	-59.470299
8860.913086	-59.243134
8871.679688	-59.306011
8882.446289	-59.320145
8893.212891	-59.258984
8903.979492	-59.380733
8914.746094	-59.331753
8925.512695	-59.272484
8936.279297	-59.382759
8947.045898	-59.498363
8957.812500	-59.502438
8968.579102	-59.503296
8979.345703	-59.487289
8990.112305	-59.434635
9000.878906	-59.432713
9011.645508	-59.492840
9022.412109	-59.421673
9033.178711	-59.650841
9043.945312	-59.719666
9054.711914	-59.777676
9065.478516	-59.630928
