155.4564 	EXP 	Sound  started
157.4416 	EXP 	Sound  stopped
157.4422 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_60dBFS.wav
157.4422 	EXP 	Sound  started
159.2275 	DATA 	Keypress: 7
159.4274 	EXP 	Sound  stopped
159.4280 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_90dBFS.wav
159.4280 	EXP 	Sound  started
161.4133 	EXP 	Sound  stopped
161.4138 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_80dBFS.wav
161.4139 	EXP 	Sound  started
163.1992 	DATA 	Keypress: 7
163.3991 	EXP 	Sound  stopped
163.3997 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_90dBFS.wav
163.3997 	EXP 	Sound  started
165.3850 	EXP 	Sound  stopped
165.3856 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_80dBFS.wav
165.3856 	EXP 	Sound  started
167.1709 	DATA 	Keypress: 7
167.3708 	EXP 	Sound  stopped
167.3714 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_90dBFS.wav
167.3714 	EXP 	Sound  started
169.3567 	EXP 	Sound  stopped
169.3573 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_80dBFS.wav
169.3573 	EXP 	Sound  started
171.1426 	DATA 	Keypress: 7
171.3425 	EXP 	Sound  stopped
171.3431 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_90dBFS.wav
171.3431 	EXP 	Sound  started
173.3282 	EXP 	Sound  stopped
173.3288 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_80dBFS.wav
173.3288 	EXP 	Sound  started
175.1141 	DATA 	Keypress: 7
175.3140 	EXP 	Sound  stopped
175.3146 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_90dBFS.wav
175.3146 	EXP 	Sound  started
177.2999 	EXP 	Sound  stopped
177.3004 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_80dBFS.wav
177.3004 	EXP 	Sound  started
179.0858 	DATA 	Keypress: 7
179.2857 	EXP 	Sound  stopped
179.2862 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_90dBFS.wav
179.2863 	EXP 	Sound  started
181.2715 	EXP 	Sound  stopped
181.2720 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_80dBFS.wav
181.2721 	EXP 	Sound  started
183.2573 	EXP 	Sound  stopped
