226.6074 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_20dBFS.wav
226.6075 	EXP 	Sound  started
228.5925 	EXP 	Sound  stopped
228.5945 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_30dBFS.wav
228.5945 	EXP 	Sound  started
230.5798 	EXP 	Sound  stopped
230.5818 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_40dBFS.wav
230.5818 	EXP 	Sound  started
232.5671 	EXP 	Sound  stopped
232.5691 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_50dBFS.wav
232.5691 	EXP 	Sound  started
234.5532 	EXP 	Sound  stopped
234.5552 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_60dBFS.wav
234.5553 	EXP 	Sound  started
236.5405 	EXP 	Sound  stopped
236.5426 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_70dBFS.wav
236.5426 	EXP 	Sound  started
238.5279 	EXP 	Sound  stopped
238.5285 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_80dBFS.wav
238.5285 	EXP 	Sound  started
240.5133 	EXP 	Sound  stopped
240.5139 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_90dBFS.wav
240.5139 	EXP 	Sound  started
242.2993 	DATA 	Keypress: 7
242.4992 	EXP 	Sound  stopped
242.5137 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_20dBFS.wav
242.5137 	EXP 	Sound  started
244.4987 	EXP 	Sound  stopped
244.5006 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_30dBFS.wav
244.5007 	EXP 	Sound  started
246.4859 	EXP 	Sound  stopped
246.4880 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_40dBFS.wav
246.4880 	EXP 	Sound  started
248.4732 	EXP 	Sound  stopped
248.4752 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_50dBFS.wav
248.4753 	EXP 	Sound  started
250.4605 	EXP 	Sound  stopped
250.4625 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_60dBFS.wav
250.4625 	EXP 	Sound  started
252.4478 	EXP 	Sound  stopped
252.4498 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_70dBFS.wav
252.4499 	EXP 	Sound  started
254.4351 	EXP 	Sound  stopped
254.4358 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_80dBFS.wav
254.4358 	EXP 	Sound  started
256.4211 	EXP 	Sound  stopped
256.4217 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_90dBFS.wav
256.4217 	EXP 	Sound  started
258.2066 	DATA 	Keypress: 7
258.4065 	EXP 	Sound  stopped
258.4177 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_20dBFS.wav
258.4177 	EXP 	Sound  started
260.4030 	EXP 	Sound  stopped
260.4050 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_30dBFS.wav
260.4051 	EXP 	Sound  started
262.3903 	EXP 	Sound  stopped
262.3924 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_40dBFS.wav
262.3924 	EXP 	Sound  started
264.3777 	EXP 	Sound  stopped
264.3797 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_50dBFS.wav
264.3797 	EXP 	Sound  started
266.3650 	EXP 	Sound  stopped
266.3670 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_60dBFS.wav
266.3670 	EXP 	Sound  started
268.3523 	EXP 	Sound  stopped
268.3543 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_70dBFS.wav
268.3543 	EXP 	Sound  started
270.3396 	EXP 	Sound  stopped
270.3416 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_80dBFS.wav
270.3417 	EXP 	Sound  started
272.1270 	DATA 	Keypress: 7
272.3269 	EXP 	Sound  stopped
272.3379 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_20dBFS.wav
272.3379 	EXP 	Sound  started
274.3232 	EXP 	Sound  stopped
274.3252 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_30dBFS.wav
274.3252 	EXP 	Sound  started
276.3105 	EXP 	Sound  stopped
276.3125 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_40dBFS.wav
276.3125 	EXP 	Sound  started
278.2978 	EXP 	Sound  stopped
278.2998 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_50dBFS.wav
278.2998 	EXP 	Sound  started
280.2851 	EXP 	Sound  stopped
280.2871 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_60dBFS.wav
280.2871 	EXP 	Sound  started
282.2724 	EXP 	Sound  stopped
282.2744 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_70dBFS.wav
282.2745 	EXP 	Sound  started
284.2597 	EXP 	Sound  stopped
284.2621 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_80dBFS.wav
284.2621 	EXP 	Sound  started
286.2474 	EXP 	Sound  stopped
286.2480 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_90dBFS.wav
286.2480 	EXP 	Sound  started
288.0334 	DATA 	Keypress: 7
288.2333 	EXP 	Sound  stopped
288.2489 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_20dBFS.wav
288.2489 	EXP 	Sound  started
290.2342 	EXP 	Sound  stopped
290.2362 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_30dBFS.wav
290.2362 	EXP 	Sound  started
292.2215 	EXP 	Sound  stopped
292.2235 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_40dBFS.wav
292.2235 	EXP 	Sound  started
294.2088 	EXP 	Sound  stopped
294.2108 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_50dBFS.wav
294.2108 	EXP 	Sound  started
296.1961 	EXP 	Sound  stopped
296.1981 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_60dBFS.wav
296.1981 	EXP 	Sound  started
298.1834 	EXP 	Sound  stopped
298.1854 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_70dBFS.wav
298.1854 	EXP 	Sound  started
300.1707 	EXP 	Sound  stopped
300.1727 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_80dBFS.wav
300.1727 	EXP 	Sound  started
302.1580 	EXP 	Sound  stopped
302.1586 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_90dBFS.wav
302.1586 	EXP 	Sound  started
303.9440 	DATA 	Keypress: 7
304.1439 	EXP 	Sound  stopped
304.1550 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_20dBFS.wav
304.1550 	EXP 	Sound  started
306.1396 	EXP 	Sound  stopped
306.1416 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_30dBFS.wav
306.1416 	EXP 	Sound  started
308.1269 	EXP 	Sound  stopped
308.1289 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_40dBFS.wav
308.1289 	EXP 	Sound  started
310.1133 	EXP 	Sound  stopped
310.1152 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_50dBFS.wav
310.1153 	EXP 	Sound  started
312.1005 	EXP 	Sound  stopped
312.1025 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_60dBFS.wav
312.1025 	EXP 	Sound  started
314.0878 	EXP 	Sound  stopped
314.0898 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_70dBFS.wav
314.0898 	EXP 	Sound  started
316.0751 	EXP 	Sound  stopped
316.0757 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_80dBFS.wav
316.0757 	EXP 	Sound  started
318.0597 	EXP 	Sound  stopped
318.0603 	EXP 	Set  sound=stimuli/audiosegment/6000hz_minus_90dBFS.wav
318.0603 	EXP 	Sound  started
319.8457 	DATA 	Keypress: 7
319.8459 	DATA 	Keypress: 7
320.0456 	EXP 	Sound  stopped
320.0587 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_20dBFS.wav
320.0588 	EXP 	Sound  started
322.0440 	EXP 	Sound  stopped
322.0460 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_30dBFS.wav
322.0460 	EXP 	Sound  started
324.0313 	EXP 	Sound  stopped
