Frequency (Hz)	Level (dB)
4640.405273	-56.163105
4651.171875	-58.334034
4661.938477	-60.593330
4672.705078	-60.472057
4683.471680	-60.493629
4694.238281	-60.491714
4705.004883	-60.451416
4715.771484	-60.291607
4726.538086	-60.088669
4737.304688	-60.030239
4748.071289	-60.568653
4758.837891	-60.825760
4769.604492	-58.683662
4780.371094	-58.996464
4791.137695	-60.392620
4801.904297	-60.225578
4812.670898	-60.118896
4823.437500	-60.483727
4834.204102	-60.663696
4844.970703	-60.849888
4855.737305	-60.631432
4866.503906	-60.926300
4877.270508	-60.744850
4888.037109	-60.747368
4898.803711	-60.026546
4909.570312	-59.541077
4920.336914	-61.103668
4931.103516	-60.811028
4941.870117	-60.686218
4952.636719	-60.837204
4963.403320	-60.920509
4974.169922	-60.904640
4984.936523	-60.873074
4995.703125	-60.094383
5006.469727	-60.806435
5017.236328	-61.160946
5028.002930	-61.083870
5038.769531	-60.958061
5049.536133	-60.932320
5060.302734	-60.939243
5071.069336	-60.968430
5081.835938	-60.626606
5092.602539	-60.121506
5103.369141	-60.418545
5114.135742	-61.432987
5124.902344	-61.380302
5135.668945	-61.183895
5146.435547	-60.807499
5157.202148	-61.024311
5167.968750	-59.811600
5178.735352	-59.374119
5189.501953	-60.448235
5200.268555	-61.118870
5211.035156	-61.724770
5221.801758	-61.788933
5232.568359	-61.270767
5243.334961	-60.825512
5254.101562	-60.618591
5264.868164	-61.156834
5275.634766	-61.147938
5286.401367	-61.055130
5297.167969	-59.957722
5307.934570	-59.212616
5318.701172	-61.026417
5329.467773	-61.649689
5340.234375	-62.180519
5351.000977	-61.622276
5361.767578	-61.170506
5372.534180	-60.994759
5383.300781	-60.754234
5394.067383	-61.102623
5404.833984	-61.229927
5415.600586	-61.427967
5426.367188	-59.790207
5437.133789	-56.730274
5447.900391	-59.386566
5458.666992	-61.747463
5469.433594	-61.473499
5480.200195	-61.013195
5490.966797	-60.791859
5501.733398	-60.782024
5512.500000	-61.102562
5523.266602	-61.159977
5534.033203	-60.747078
5544.799805	-60.452171
5555.566406	-60.297951
5566.333008	-58.485916
5577.099609	-59.276096
5587.866211	-61.601910
5598.632812	-61.378029
5609.399414	-61.448952
5620.166016	-61.633507
5630.932617	-61.213276
5641.699219	-61.445999
5652.465820	-61.497498
5663.232422	-61.073296
5673.999023	-61.248936
5684.765625	-61.632202
5695.532227	-60.377171
5706.298828	-59.300858
5717.065430	-60.847031
5727.832031	-61.334526
5738.598633	-61.820480
