Frequency (Hz)	Level (dB)
7278.222656	-61.109791
7288.989258	-61.351177
7299.755859	-60.218346
7310.522461	-60.204647
7321.289062	-60.755703
7332.055664	-60.728951
7342.822266	-60.881577
7353.588867	-61.058056
7364.355469	-60.859688
7375.122070	-61.095299
7385.888672	-61.931137
7396.655273	-61.869904
7407.421875	-62.329975
7418.188477	-61.706852
7428.955078	-60.834232
7439.721680	-61.235435
7450.488281	-60.724297
7461.254883	-60.913803
7472.021484	-61.463253
7482.788086	-62.777138
7493.554688	-63.499706
7504.321289	-64.455566
7515.087891	-63.879814
7525.854492	-64.030548
7536.621094	-62.966053
7547.387695	-62.609779
7558.154297	-63.612766
7568.920898	-63.664200
7579.687500	-63.245869
7590.454102	-62.419426
7601.220703	-62.119061
7611.987305	-63.095455
7622.753906	-62.647903
7633.520508	-62.200581
7644.287109	-62.909492
7655.053711	-62.947906
7665.820312	-62.744125
7676.586914	-62.165550
7687.353516	-61.972092
7698.120117	-62.171528
7708.886719	-62.088474
7719.653320	-61.921581
7730.419922	-62.220058
7741.186523	-61.999321
7751.953125	-61.568325
7762.719727	-62.292278
7773.486328	-61.412292
7784.252930	-61.026913
7795.019531	-61.561172
7805.786133	-62.565941
7816.552734	-63.135735
7827.319336	-63.216671
7838.085938	-63.493950
7848.852539	-62.590199
7859.619141	-62.070976
7870.385742	-62.507282
7881.152344	-62.843525
7891.918945	-62.497696
7902.685547	-62.319031
7913.452148	-62.500015
7924.218750	-62.331619
7934.985352	-62.765697
7945.751953	-63.036762
7956.518555	-63.025364
7967.285156	-62.513264
7978.051758	-61.696476
7988.818359	-61.310699
7999.584961	-61.481037
8010.351562	-61.574722
8021.118164	-62.255836
8031.884766	-62.734364
8042.651367	-61.356491
8053.417969	-60.668583
8064.184570	-60.041698
8074.951172	-60.427086
8085.717773	-61.601555
8096.484375	-63.582191
8107.250977	-63.689896
8118.017578	-63.277126
8128.784180	-63.855064
8139.550781	-65.111732
8150.317383	-64.553406
8161.083984	-63.737503
8171.850586	-63.162029
8182.617188	-61.080284
8193.383789	-59.473831
8204.150391	-60.800472
8214.916992	-62.241676
8225.683594	-62.361416
8236.450195	-62.608166
8247.216797	-63.513660
8257.983398	-63.039906
8268.750000	-62.679573
8279.516602	-63.163010
8290.283203	-65.072052
8301.049805	-65.764481
8311.816406	-65.187668
8322.583008	-63.900600
8333.349609	-64.267403
8344.116211	-63.770061
8354.882812	-63.753269
8365.649414	-63.516354
8376.416016	-64.074638
8387.182617	-63.663700
8397.949219	-64.622948
8408.715820	-65.085487
8419.482422	-65.006195
8430.249023	-63.888817
8441.015625	-62.550884
8451.782227	-62.581966
8462.548828	-61.353218
8473.315430	-60.942295
8484.082031	-61.868332
8494.848633	-62.684513
8505.615234	-62.658943
8516.381836	-62.862724
8527.148438	-63.113342
8537.915039	-64.275383
8548.681641	-64.385597
8559.448242	-64.613159
8570.214844	-64.820480
8580.981445	-64.264969
8591.748047	-63.832527
8602.514648	-63.938503
8613.281250	-64.346077
8624.047852	-64.816940
8634.814453	-64.183334
8645.581055	-63.431778
8656.347656	-63.534592
8667.114258	-64.991486
8677.880859	-64.419769
8688.647461	-62.869129
8699.414062	-62.638046
8710.180664	-63.442833
8720.947266	-64.035095
8731.713867	-64.205505
8742.480469	-65.071022
8753.247070	-64.998993
8764.013672	-65.589149
8774.780273	-64.501900
8785.546875	-63.752872
8796.313477	-63.807930
8807.080078	-64.108940
8817.846680	-64.238297
8828.613281	-64.534775
8839.379883	-63.774174
8850.146484	-64.762329
8860.913086	-64.574051
8871.679688	-64.448753
8882.446289	-65.151711
8893.212891	-64.806183
8903.979492	-62.864750
8914.746094	-62.736275
8925.512695	-64.525620
8936.279297	-64.540062
8947.045898	-64.415024
8957.812500	-65.203903
8968.579102	-65.227913
8979.345703	-64.958221
8990.112305	-65.299454
9000.878906	-65.504074
9011.645508	-66.278343
9022.412109	-66.586594
9033.178711	-65.787170
9043.945312	-64.867836
9054.711914	-64.371437
9065.478516	-65.286514
9076.245117	-65.172981
9087.011719	-64.481209
9097.778320	-64.160759
9108.544922	-63.490215
9119.311523	-63.230198
9130.078125	-62.630039
9140.844727	-62.516464
9151.611328	-62.640373
9162.377930	-62.213455
9173.144531	-62.839161
9183.911133	-63.322662
9194.677734	-64.031311
9205.444336	-61.938786
9216.210938	-62.679924
9226.977539	-63.441631
9237.744141	-64.498390
9248.510742	-65.994324
9259.277344	-66.326088
9270.043945	-66.749405
9280.810547	-65.926224
9291.577148	-65.684143
9302.343750	-66.201118
9313.110352	-66.280479
9323.876953	-66.097481
9334.643555	-66.249100
9345.410156	-66.082985
9356.176758	-64.660698
9366.943359	-64.808342
9377.709961	-64.713142
9388.476562	-63.464832
9399.243164	-64.571159
9410.009766	-65.274323
9420.776367	-65.064796
9431.542969	-65.164452
9442.309570	-65.147705
9453.076172	-65.053528
9463.842773	-64.609261
9474.609375	-63.571625
9485.375977	-63.715015
9496.142578	-63.967216
9506.909180	-62.539230
9517.675781	-61.057987
9528.442383	-61.003376
9539.208984	-61.557259
9549.975586	-61.522266
9560.742188	-61.624306
9571.508789	-60.766975
9582.275391	-61.531689
9593.041992	-62.680485
9603.808594	-62.661182
9614.575195	-62.440346
9625.341797	-62.685345
9636.108398	-63.004330
9646.875000	-63.266911
9657.641602	-62.702019
9668.408203	-63.049564
9679.174805	-63.061108
9689.941406	-63.801750
9700.708008	-64.567627
9711.474609	-64.210526
9722.241211	-63.424419
9733.007812	-64.295013
9743.774414	-63.391243
9754.541016	-62.570358
9765.307617	-60.966831
9776.074219	-61.495018
9786.840820	-62.662926
9797.607422	-61.756207
9808.374023	-60.608257
9819.140625	-61.323792
9829.907227	-61.852776
9840.673828	-62.461624
9851.440430	-61.691368
9862.207031	-62.845280
9872.973633	-63.355274
9883.740234	-63.389145
9894.506836	-64.573784
9905.273438	-64.718048
9916.040039	-63.645161
9926.806641	-64.990051
9937.573242	-65.071754
9948.339844	-64.468712
9959.106445	-65.122078
9969.873047	-64.017242
9980.639648	-63.403328
9991.406250	-62.720985
10002.172852	-61.323437
10012.939453	-60.247299
10023.706055	-60.041672
10034.472656	-61.035995
10045.239258	-60.901474
10056.005859	-58.797962
10066.772461	-56.451481
10077.539062	-56.939774
10088.305664	-58.495602
10099.072266	-58.471577
10109.838867	-57.333599
10120.605469	-57.473629
10131.372070	-59.222023
10142.138672	-60.194286
10152.905273	-60.778187
10163.671875	-60.631943
10174.438477	-60.093899
10185.205078	-60.478374
10195.971680	-59.568798
10206.738281	-57.737225
10217.504883	-58.994194
10228.271484	-60.588104
10239.038086	-61.185959
10249.804688	-60.942753
10260.571289	-60.519169
10271.337891	-59.825493
10282.104492	-58.708458
10292.871094	-57.363937
10303.637695	-55.775028
10314.404297	-56.924206
10325.170898	-60.134502
10335.937500	-61.396328
10346.704102	-61.459530
10357.470703	-61.702297
10368.237305	-62.049732
10379.003906	-61.045689
10389.770508	-60.492085
10400.537109	-61.562183
10411.303711	-61.570580
10422.070312	-61.517555
10432.836914	-61.689869
10443.603516	-61.664593
10454.370117	-60.715488
10465.136719	-61.227360
10475.903320	-60.525890
10486.669922	-61.617725
10497.436523	-62.438473
10508.203125	-62.373432
10518.969727	-62.208794
10529.736328	-61.421890
10540.502930	-62.517670
10551.269531	-62.882523
10562.036133	-61.628757
10572.802734	-61.996380
10583.569336	-63.021206
10594.335938	-63.866917
10605.102539	-64.721313
10615.869141	-64.053078
10626.635742	-63.001736
10637.402344	-62.888210
10648.168945	-62.760365
10658.935547	-63.717457
10669.702148	-63.597675
10680.468750	-62.949478
10691.235352	-61.918789
10702.001953	-61.094276
10712.768555	-60.443935
10723.535156	-59.809967
10734.301758	-60.292709
10745.068359	-60.541092
10755.834961	-61.022499
10766.601562	-59.848095
10777.368164	-58.709732
10788.134766	-57.586887
10798.901367	-56.952023
10809.667969	-56.672215
10820.434570	-56.438740
10831.201172	-56.727173
10841.967773	-55.851654
10852.734375	-55.222778
10863.500977	-56.534824
10874.267578	-58.086098
10885.034180	-59.201900
10895.800781	-59.540291
10906.567383	-60.494221
